Model,Set,Fold,Max_n,RMSE_n,MAE_n,MAPE_n,Max,RMSE,MAE,MAPE
RandomForest,Train,0,0.3162574449132541,0.10668442985301631,0.08530463289368577,5398316.481914413,101.51863981715456,34.24570198281823,27.38278715887313,23.955174751672565
RandomForest,Test,0,0.4131764642100239,0.1726255414167774,0.13893320611458676,60.5112245710543,132.6296450114177,55.41279879478555,44.59755916278235,40.171968447605586
GPR,Train,0,0.4953829959317795,0.16625530277874742,0.13507927100945488,10064989.254021177,159.0179416941012,53.36795219197791,43.360445994035025,39.15548776112377
GPR,Test,0,0.44888560261939026,0.17247802370096224,0.14041848481395106,59.664549405959185,144.0922784408243,55.36544560800888,45.0743336252783,39.421434077041475
KNN,Train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,Test,0,0.4239856347562184,0.16742944587029912,0.13186980202206391,54.79552363711476,136.09938875674612,53.74485212436603,42.33020644908251,36.41677080987874
GradientBoosting,Train,0,0.3687813211398522,0.14093492955563067,0.11711596501300284,7735294.483879789,118.37880408589257,45.24011238735745,37.59422476917391,33.644315094616196
GradientBoosting,Test,0,0.4511745908203819,0.16856482603818504,0.13612156911546433,60.04983583993141,144.8270436533426,54.109309158257396,43.69502368606406,39.38676827039829
RandomForest,Train,1,0.40443094900353,0.1335582721451669,0.10910473262742727,6477208.64646878,129.82233463013316,42.87220535859858,35.02261917340415,32.01492154709368
RandomForest,Test,1,0.3973982371861799,0.15481957907644733,0.1258044881480811,51.03715114992223,127.56483413676375,49.697084883539596,40.38324069553403,33.163055538564855
GPR,Train,1,0.47677595050307575,0.17028472717649312,0.13951701985260048,10116964.430957403,153.04508011148732,54.6613974236543,44.78496337268475,40.462047175555206
GPR,Test,1,0.3841365050057993,0.14923584128398293,0.11542708843621571,48.21536499880043,123.30781810686159,47.90470505215852,37.05209538802524,30.957797450812418
KNN,Train,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,Test,1,0.43858885736807485,0.17864113981483395,0.13598318358438957,54.33733512718189,140.78702321515203,57.3438058805617,43.65060193058905,35.37406559999086
GradientBoosting,Train,1,0.40156553638533116,0.1447653967931021,0.11967445239706712,7386711.044722747,128.9025371796913,46.46969237058578,38.415499219458546,34.88154699298169
GradientBoosting,Test,1,0.4256137541191398,0.15995277936162158,0.12852133536672428,52.51202404815145,136.6220150722439,51.34484217508054,41.2553486527185,33.98558886478123
RandomForest,Train,2,0.3461254685495325,0.12567211566252637,0.10061082391288659,6808106.686293495,111.10627540439992,40.34074912767097,32.296074476036594,29.219476117380893
RandomForest,Test,2,0.45141145698077245,0.20351158407951817,0.171140569683571,70.73559500757906,144.90307769082796,65.32721848952534,54.93612286842629,47.049818934309926
